"items","intext","inname","inconstraint","outtext","outname","outconstraint","goldtext","goldname","goldconstraint","changed","correct","entity_name matched"
"61","the abdomen rounded, emar- ginate, and striated at the base;","base",,"the abdomen rounded, emar- ginate, and striated at the base;","base","abdomen","the abdomen rounded, emar- ginate, and striated at the base;","base","abdomen","Y","Y",""
"62","the flagellum, coxae and femora, and the base of the abdomen beneath, usually more or less ferruginous;","base",,"the flagellum, coxae and femora, and the base of the abdomen beneath, usually more or less ferruginous;","base","abdomen","the flagellum, coxae and femora, and the base of the abdomen beneath, usually more or less ferruginous;","base","abdomen","Y","Y",""
"63","The mesothorax with a central longitudinal slightly impressed line which extends from base to apex;","line",,"The mesothorax with a central longitudinal slightly impressed line which extends from base to apex;","line","mesothorax","The mesothorax with a central longitudinal slightly impressed line which extends from base to apex;","line","mesothorax","Y","Y",""
"64","The mesothorax with a central longitudinal slightly impressed line which extends from base to apex;","base",,"The mesothorax with a central longitudinal slightly impressed line which extends from base to apex;","base","mesothorax","The mesothorax with a central longitudinal slightly impressed line which extends from base to apex;","base","mesothorax","Y","Y",""
"65","The mesothorax with a central longitudinal slightly impressed line which extends from base to apex;","apex",,"The mesothorax with a central longitudinal slightly impressed line which extends from base to apex;","apex","mesothorax","The mesothorax with a central longitudinal slightly impressed line which extends from base to apex;","apex","mesothorax","Y","Y",""
"66","Very variable in colour: some individuals black, with the flagellum, legs, thorax beneath, scale of the peduncle, and base of the abdomen beneath more or less ferruginous;","base",,"Very variable in colour: some individuals black, with the flagellum, legs, thorax beneath, scale of the peduncle, and base of the abdomen beneath more or less ferruginous;","base","abdomen","Very variable in colour: some individuals black, with the flagellum, legs, thorax beneath, scale of the peduncle, and base of the abdomen beneath more or less ferruginous;","base","abdomen","Y","Y",""
"67","Leaflets 7-30 on each branch, sharply and regularly serrate, a few sometimes coarsely lacerate, obliquely lanceolate, decurrent at base, 7-15 cm long, 1.5-4 cm broad.","base",,"Leaflets 7-30 on each branch, sharply and regularly serrate, a few sometimes coarsely lacerate, obliquely lanceolate, decurrent at base, 7-15 cm long, 1.5-4 cm broad.","base","leaflet","Leaflets 7-30 on each branch, sharply and regularly serrate, a few sometimes coarsely lacerate, obliquely lanceolate, decurrent at base, 7-15 cm long, 1.5-4 cm broad.","base","leaflet","Y","Y",""
"68","lamina lanceolate, 50-55 mm long, 15-30 mm wide, regularly dentate, with 22-24 pungent lateral spines 1-4 mm long, 1-2 mm wide, apical spine distinct from lateral spines, 21-25 mm long, 5 mm wide at base.","base",,"lamina lanceolate, 50-55 mm long, 15-30 mm wide, regularly dentate, with 22-24 pungent lateral spines 1-4 mm long, 1-2 mm wide, apical spine distinct from lateral spines, 21-25 mm long, 5 mm wide at base.","base","lamina","lamina lanceolate, 50-55 mm long, 15-30 mm wide, regularly dentate, with 22-24 pungent lateral spines 1-4 mm long, 1-2 mm wide, apical spine distinct from lateral spines, 21-25 mm long, 5 mm wide at base.","base","lamina","Y","Y",""
"69","Stipe 3.5-8 x 0.9-2.5 cm, cylindrical to clavate, base at times slightly bulbous, narrowly fistulose, white, smooth above the annulus, glabrous to finely fibrillose-silky below, often with rhizoids, occasionally with short rhizomorphs.","base",,"Stipe 3.5-8 x 0.9-2.5 cm, cylindrical to clavate, base at times slightly bulbous, narrowly fistulose, white, smooth above the annulus, glabrous to finely fibrillose-silky below, often with rhizoids, occasionally with short rhizomorphs.","base","stipe","Stipe 3.5-8 x 0.9-2.5 cm, cylindrical to clavate, base at times slightly bulbous, narrowly fistulose, white, smooth above the annulus, glabrous to finely fibrillose-silky below, often with rhizoids, occasionally with short rhizomorphs.","base","stipe","Y","Y",""
"70","Plants strongly woody at bases;","base",,"Plants strongly woody at bases;","base","plant","Plants strongly woody at bases;","base","plant","Y","Y",""
"71","the mandibles ferruginous, longitudinally striated, and having two blunt teeth at their apex, their base, outer margins and apex black;","apex",,"the mandibles ferruginous, longitudinally striated, and having two blunt teeth at their apex, their base, outer margins and apex black;","apex","mandible","the mandibles ferruginous, longitudinally striated, and having two blunt teeth at their apex, their base, outer margins and apex black;","apex","mandible","Y","Y",""
"72","the mandibles ferruginous, longitudinally striated, and having two blunt teeth at their apex, their base, outer margins and apex black;","base",,"the mandibles ferruginous, longitudinally striated, and having two blunt teeth at their apex, their base, outer margins and apex black;","base","mandible","the mandibles ferruginous, longitudinally striated, and having two blunt teeth at their apex, their base, outer margins and apex black;","base","mandible","Y","Y",""
"73","the mandibles ferruginous, longitudinally striated, and having two blunt teeth at their apex, their base, outer margins and apex black;","margin","outer","the mandibles ferruginous, longitudinally striated, and having two blunt teeth at their apex, their base, outer margins and apex black;","margin","mandible outer","the mandibles ferruginous, longitudinally striated, and having two blunt teeth at their apex, their base, outer margins and apex black;","margin","mandible outer","Y","Y",""
"74","the mandibles ferruginous, longitudinally striated, and having two blunt teeth at their apex, their base, outer margins and apex black;","apex","outer","the mandibles ferruginous, longitudinally striated, and having two blunt teeth at their apex, their base, outer margins and apex black;","apex","mandible outer","the mandibles ferruginous, longitudinally striated, and having two blunt teeth at their apex, their base, outer margins and apex black;","apex","mandible outer","Y","Y",""
"75","Stipe (4-) 5-12 x (0.8-) 1.2-1.7 cm, fistulose, straight or flexuous, equal or more or less bulbous at base, 2-3 cm., with an apical annulus, above which pinkish at first, then greyish, and below with white, appressed fibrils which may coalesce into more or less visible transversal belts;","base",,"Stipe (4-) 5-12 x (0.8-) 1.2-1.7 cm, fistulose, straight or flexuous, equal or more or less bulbous at base, 2-3 cm., with an apical annulus, above which pinkish at first, then greyish, and below with white, appressed fibrils which may coalesce into more or less visible transversal belts;","base","stipe","Stipe (4-) 5-12 x (0.8-) 1.2-1.7 cm, fistulose, straight or flexuous, equal or more or less bulbous at base, 2-3 cm., with an apical annulus, above which pinkish at first, then greyish, and below with white, appressed fibrils which may coalesce into more or less visible transversal belts;","base","stipe","Y","Y",""
"76","Stipe (4-) 5-12 x (0.8-) 1.2-1.7 cm, fistulose, straight or flexuous, equal or more or less bulbous at base, 2-3 cm., with an apical annulus, above which pinkish at first, then greyish, and below with white, appressed fibrils which may coalesce into more or less visible transversal belts;","belt",,"Stipe (4-) 5-12 x (0.8-) 1.2-1.7 cm, fistulose, straight or flexuous, equal or more or less bulbous at base, 2-3 cm., with an apical annulus, above which pinkish at first, then greyish, and below with white, appressed fibrils which may coalesce into more or less visible transversal belts;","belt","stipe","Stipe (4-) 5-12 x (0.8-) 1.2-1.7 cm, fistulose, straight or flexuous, equal or more or less bulbous at base, 2-3 cm., with an apical annulus, above which pinkish at first, then greyish, and below with white, appressed fibrils which may coalesce into more or less visible transversal belts;","belt","stipe","Y","Y",""
"77","Pileus 3-8 cm in diameter, at first globose, then hemispherical with truncate margin, finally plano-convex or shallowly depressed in the middle.","margin",,"Pileus 3-8 cm in diameter, at first globose, then hemispherical with truncate margin, finally plano-convex or shallowly depressed in the middle.","margin","pileus","Pileus 3-8 cm in diameter, at first globose, then hemispherical with truncate margin, finally plano-convex or shallowly depressed in the middle.","margin","pileus","Y","Y",""
"78","Initially entirely covered, except for a narrow whitish marginal belt, 1-2 mm broad, with radial appressed fibrils, variable in colour, typically bright reddish-brown (copper), but also various shades of brown, fulvous-brown to dark-brown, almost blackish, with violaceous or purple tinges, after pileus expansion it may remain completely fibrillose, become fibrillose-squamose towards disc or squamose at disc with triangular concentrically-arranged scales and a lighter, almost white margin.","belt","marginal","Initially entirely covered, except for a narrow whitish marginal belt, 1-2 mm broad, with radial appressed fibrils, variable in colour, typically bright reddish-brown (copper), but also various shades of brown, fulvous-brown to dark-brown, almost blackish, with violaceous or purple tinges, after pileus expansion it may remain completely fibrillose, become fibrillose-squamose towards disc or squamose at disc with triangular concentrically-arranged scales and a lighter, almost white margin.","belt","pileus marginal","Initially entirely covered, except for a narrow whitish marginal belt, 1-2 mm broad, with radial appressed fibrils, variable in colour, typically bright reddish-brown (copper), but also various shades of brown, fulvous-brown to dark-brown, almost blackish, with violaceous or purple tinges, after pileus expansion it may remain completely fibrillose, become fibrillose-squamose towards disc or squamose at disc with triangular concentrically-arranged scales and a lighter, almost white margin.","belt","pileus marginal","Y","Y",""
"79","Initially entirely covered, except for a narrow whitish marginal belt, 1-2 mm broad, with radial appressed fibrils, variable in colour, typically bright reddish-brown (copper), but also various shades of brown, fulvous-brown to dark-brown, almost blackish, with violaceous or purple tinges, after pileus expansion it may remain completely fibrillose, become fibrillose-squamose towards disc or squamose at disc with triangular concentrically-arranged scales and a lighter, almost white margin.","margin",,"Initially entirely covered, except for a narrow whitish marginal belt, 1-2 mm broad, with radial appressed fibrils, variable in colour, typically bright reddish-brown (copper), but also various shades of brown, fulvous-brown to dark-brown, almost blackish, with violaceous or purple tinges, after pileus expansion it may remain completely fibrillose, become fibrillose-squamose towards disc or squamose at disc with triangular concentrically-arranged scales and a lighter, almost white margin.","margin","pileus","Initially entirely covered, except for a narrow whitish marginal belt, 1-2 mm broad, with radial appressed fibrils, variable in colour, typically bright reddish-brown (copper), but also various shades of brown, fulvous-brown to dark-brown, almost blackish, with violaceous or purple tinges, after pileus expansion it may remain completely fibrillose, become fibrillose-squamose towards disc or squamose at disc with triangular concentrically-arranged scales and a lighter, almost white margin.","margin","pileus","Y","Y",""
"80","the flagellum, coxae and femora, and the base of the abdomen beneath, usually more or less ferruginous;","base",,"the flagellum, coxae and femora, and the base of the abdomen beneath, usually more or less ferruginous;","base","abdomen","the flagellum, coxae and femora, and the base of the abdomen beneath, usually more or less ferruginous;","base","abdomen","Y","Y",""
"81","the body shining;","body",,"the body shining;","body","phyllary","the body shining;","body",,"Y","N",""
"82","Antennae elongate, as long as the body;","body",,"Antennae elongate, as long as the body;","body","phyllary","Antennae elongate, as long as the body;","body",,"Y","N",""
"83","Length 1 1/2 line.-Body entirely testaceous, with the antennae and legs very pale;","body","line","Length 1 1/2 line.-Body entirely testaceous, with the antennae and legs very pale;","body","phyllary line","Length 1 1/2 line.-Body entirely testaceous, with the antennae and legs very pale;","body","male worker line","Y","N",""
"84","the legs paler than the body, with the femora blackish in the middle.","body",,"the legs paler than the body, with the femora blackish in the middle.","body","phyllary","the legs paler than the body, with the femora blackish in the middle.","body",,"Y","N",""
"85","Wings longer than the body, with one marginal and three submarginal cells, the third sometimes incomplete;","body",,"Wings longer than the body, with one marginal and three submarginal cells, the third sometimes incomplete;","body","phyllary","Wings longer than the body, with one marginal and three submarginal cells, the third sometimes incomplete;","body",,"Y","N",""
"86","Wings longer than the body, with one marginal and three submarginal cells, the third sometimes incomplete;","cell","submarginal","Wings longer than the body, with one marginal and three submarginal cells, the third sometimes incomplete;","cell","wing submarginal","Wings longer than the body, with one marginal and three submarginal cells, the third sometimes incomplete;","cell","wing submarginal","Y","Y",""
"87","Cypselae monomorphic or dimorphic within heads, usually ± columnar to prismatic and 5-ribbed, sometimes compressed and 2-ribbed, rarely beaked, bodies smooth, muricate, ribbed, or rugulose (glabrous or hairy, hairs often glandular);","body",,"Cypselae monomorphic or dimorphic within heads, usually ± columnar to prismatic and 5-ribbed, sometimes compressed and 2-ribbed, rarely beaked, bodies smooth, muricate, ribbed, or rugulose (glabrous or hairy, hairs often glandular);","body","cypsela","Cypselae monomorphic or dimorphic within heads, usually ± columnar to prismatic and 5-ribbed, sometimes compressed and 2-ribbed, rarely beaked, bodies smooth, muricate, ribbed, or rugulose (glabrous or hairy, hairs often glandular);","body","cypsela","Y","Y",""
"88","the eyes circular and very prominent, situated a little before the middle, at the sides of the head;","side",,"the eyes circular and very prominent, situated a little before the middle, at the sides of the head;","side","head","the eyes circular and very prominent, situated a little before the middle, at the sides of the head;","side","head","Y","Y",""
"89","the antennae inserted forward on the face in deep cavities close to the base of the clypeus;","face",,"the antennae inserted forward on the face in deep cavities close to the base of the clypeus;","face","head","the antennae inserted forward on the face in deep cavities close to the base of the clypeus;","face","head","Y","Y",""
"90","the antennae inserted forward on the face in deep cavities close to the base of the clypeus;","cavity",,"the antennae inserted forward on the face in deep cavities close to the base of the clypeus;","cavity","head face","the antennae inserted forward on the face in deep cavities close to the base of the clypeus;","cavity","head face","Y","Y",""
"91","the antennae inserted forward on the face in deep cavities close to the base of the clypeus;","base",,"the antennae inserted forward on the face in deep cavities close to the base of the clypeus;","base","clypeus","the antennae inserted forward on the face in deep cavities close to the base of the clypeus;","base","clypeus","Y","Y",""
"92","cypsela faces pebbly or warty with raised oil cavities, glabrous.","cavity","oil","cypsela faces pebbly or warty with raised oil cavities, glabrous.","cavity","cypsela face oil","cypsela faces pebbly or warty with raised oil cavities, glabrous.","cavity","cypsela face oil","Y","Y",""
"93","Cypselae 0.9–1.6 mm, faces without oil cavities, densely strigoso-sericeous (hair apices prominently bulbous-capitate);","face",,"Cypselae 0.9–1.6 mm, faces without oil cavities, densely strigoso-sericeous (hair apices prominently bulbous-capitate);","face","cypsela","Cypselae 0.9–1.6 mm, faces without oil cavities, densely strigoso-sericeous (hair apices prominently bulbous-capitate);","face","cypsela","Y","Y",""
"94","Cypselae 0.9–1.6 mm, faces without oil cavities, densely strigoso-sericeous (hair apices prominently bulbous-capitate);","cavity","oil","Cypselae 0.9–1.6 mm, faces without oil cavities, densely strigoso-sericeous (hair apices prominently bulbous-capitate);","cavity","cypsela face oil","Cypselae 0.9–1.6 mm, faces without oil cavities, densely strigoso-sericeous (hair apices prominently bulbous-capitate);","cavity","cypsela face oil","Y","Y",""
"95","cypsela faces moderately to densely hairy, never with oil cavities.","cavity","oil","cypsela faces moderately to densely hairy, never with oil cavities.","cavity","cypsela face oil","cypsela faces moderately to densely hairy, never with oil cavities.","cavity","cypsela face oil","Y","Y",""
"96","the abdomen fuscous, with the apical margins of the segments ochraceous;","margin","apical","the abdomen fuscous, with the apical margins of the segments ochraceous;","margin","segment apical","the abdomen fuscous, with the apical margins of the segments ochraceous;","margin","segment apical","Y","Y",""
"97","the node of the peduncle incrassate, oblong, narrowed and slightly notched at the apex above;","apex",,"the node of the peduncle incrassate, oblong, narrowed and slightly notched at the apex above;","apex","node","the node of the peduncle incrassate, oblong, narrowed and slightly notched at the apex above;","apex","node","Y","Y",""
"98","wings fusco-hyaline, the first submarginal cell elongate, of nearly equal width throughout, very slightly widened at the apex;","cell","submarginal","wings fusco-hyaline, the first submarginal cell elongate, of nearly equal width throughout, very slightly widened at the apex;","cell","wing submarginal","wings fusco-hyaline, the first submarginal cell elongate, of nearly equal width throughout, very slightly widened at the apex;","cell","wing submarginal","Y","Y",""
"99","wings fusco-hyaline, the first submarginal cell elongate, of nearly equal width throughout, very slightly widened at the apex;","apex",,"wings fusco-hyaline, the first submarginal cell elongate, of nearly equal width throughout, very slightly widened at the apex;","apex","wing","wings fusco-hyaline, the first submarginal cell elongate, of nearly equal width throughout, very slightly widened at the apex;","apex","wing submarginal cell","Y","N",""
"100","the mandibles more distinctly serrated, the sulcations on the sides of the face anteriorly, not so deeply impressed, or so smooth and shining, they also terminate before reaching the ocelli;","side",,"the mandibles more distinctly serrated, the sulcations on the sides of the face anteriorly, not so deeply impressed, or so smooth and shining, they also terminate before reaching the ocelli;","side","face","the mandibles more distinctly serrated, the sulcations on the sides of the face anteriorly, not so deeply impressed, or so smooth and shining, they also terminate before reaching the ocelli;","side","face","Y","Y",""
"101","the mandibles more distinctly serrated, the sulcations on the sides of the face anteriorly, not so deeply impressed, or so smooth and shining, they also terminate before reaching the ocelli;","face",,"the mandibles more distinctly serrated, the sulcations on the sides of the face anteriorly, not so deeply impressed, or so smooth and shining, they also terminate before reaching the ocelli;","face","mandible","the mandibles more distinctly serrated, the sulcations on the sides of the face anteriorly, not so deeply impressed, or so smooth and shining, they also terminate before reaching the ocelli;","face","mandible","Y","Y",""
"102","the line running from the ocelli to the posterior margin of the vertex not so deeply impressed;","margin","posterior","the line running from the ocelli to the posterior margin of the vertex not so deeply impressed;","margin","vertex posterior","the line running from the ocelli to the posterior margin of the vertex not so deeply impressed;","margin","vertex posterior","Y","Y",""
"103","the most striking difference to found in the neuration of the wings;","line",,"the most striking difference to found in the neuration of the wings;","line","vertex posterior margin","the most striking difference to found in the neuration of the wings;","line","mandible","Y","N",""
"104","the discoidal cell of a somewhat different form, and the externo-medial nervure straight, and unites with the transverso-medial nervure at the basal angle of the discoidal cell;","cell",,"the discoidal cell of a somewhat different form, and the externo-medial nervure straight, and unites with the transverso-medial nervure at the basal angle of the discoidal cell;","cell","neuration","the discoidal cell of a somewhat different form, and the externo-medial nervure straight, and unites with the transverso-medial nervure at the basal angle of the discoidal cell;","cell","neuration","Y","Y",""
"105","the discoidal cell of a somewhat different form, and the externo-medial nervure straight, and unites with the transverso-medial nervure at the basal angle of the discoidal cell;","cell","","the discoidal cell of a somewhat different form, and the externo-medial nervure straight, and unites with the transverso-medial nervure at the basal angle of the discoidal cell;","cell","neuration","the discoidal cell of a somewhat different form, and the externo-medial nervure straight, and unites with the transverso-medial nervure at the basal angle of the discoidal cell;","cell","neuration","Y","Y",""
"106","Annulus lower surface constituted by cylindrical hyphae, 3-10 (-12) µm wide, with swellings and narrowings, often branched, hardly constricted at septa, and 12-17 µm wide hyphae, hyphal cell extremities more rounded and consequently easily disarticulating.","surface","lower","Annulus lower surface constituted by cylindrical hyphae, 3-10 (-12) µm wide, with swellings and narrowings, often branched, hardly constricted at septa, and 12-17 µm wide hyphae, hyphal cell extremities more rounded and consequently easily disarticulating.","surface","annulus lower","Annulus lower surface constituted by cylindrical hyphae, 3-10 (-12) µm wide, with swellings and narrowings, often branched, hardly constricted at septa, and 12-17 µm wide hyphae, hyphal cell extremities more rounded and consequently easily disarticulating.","surface","annulus lower","Y","Y",""
"107","Leaflets simple, entire, with numerous bifurcating parallel veins and no distinct midrib, leaflets articulated, inserted near the edges of the rhachis towards the adaxial side, lacking a differently coloured basal gland;","edge",,"Leaflets simple, entire, with numerous bifurcating parallel veins and no distinct midrib, leaflets articulated, inserted near the edges of the rhachis towards the adaxial side, lacking a differently coloured basal gland;","edge","rhachi","Leaflets simple, entire, with numerous bifurcating parallel veins and no distinct midrib, leaflets articulated, inserted near the edges of the rhachis towards the adaxial side, lacking a differently coloured basal gland;","edge","rhachi","Y","Y",""
"108","Leaflets simple, entire, with numerous bifurcating parallel veins and no distinct midrib, leaflets articulated, inserted near the edges of the rhachis towards the adaxial side, lacking a differently coloured basal gland;","side","adaxial","Leaflets simple, entire, with numerous bifurcating parallel veins and no distinct midrib, leaflets articulated, inserted near the edges of the rhachis towards the adaxial side, lacking a differently coloured basal gland;","side","leaflet adaxial","Leaflets simple, entire, with numerous bifurcating parallel veins and no distinct midrib, leaflets articulated, inserted near the edges of the rhachis towards the adaxial side, lacking a differently coloured basal gland;","side","leaflet adaxial","Y","Y",""
"109","stomata on lower surface only or on both surfaces;","surface","lower","stomata on lower surface only or on both surfaces;","surface","leaflet lower","stomata on lower surface only or on both surfaces;","surface","leaflet lower","Y","Y",""
"110","stomata on lower surface only or on both surfaces;","surface",,"stomata on lower surface only or on both surfaces;","surface","leaflet","stomata on lower surface only or on both surfaces;","surface","leaflet","Y","Y",""
"111","Anterior wings with one marginal and two submarginal cells;","cell","submarginal","Anterior wings with one marginal and two submarginal cells;","cell","anterior wing submarginal","Anterior wings with one marginal and two submarginal cells;","cell","anterior wing submarginal","Y","Y",""
"112","the discoidal cells obsolete.","cell",,"the discoidal cells obsolete.","cell","anterior wing","the discoidal cells obsolete.","cell","anterior wing","Y","Y",""
"113","Labrum transverse, its anterior margin deeply emarginate.","margin","anterior","Labrum transverse, its anterior margin deeply emarginate.","margin","labrum anterior","Labrum transverse, its anterior margin deeply emarginate.","margin","labrum anterior","Y","Y",""
"114","Superior wings with one marginal and two submarginal cells.","cell","submarginal","Superior wings with one marginal and two submarginal cells.","cell","superior wing submarginal","Superior wings with one marginal and two submarginal cells.","cell","superior wing submarginal","Y","Y",""
"115","Seed-cones dark-brown, usually solitary but occasionally up to 3, emerging from center of leaf crown, cylindrical ovoid with long gradually tapering blunt sterile apex, 6-15 cm long and 4-6 cm in diameter.","center",,"Seed-cones dark-brown, usually solitary but occasionally up to 3, emerging from center of leaf crown, cylindrical ovoid with long gradually tapering blunt sterile apex, 6-15 cm long and 4-6 cm in diameter.","center","leaf crown","Seed-cones dark-brown, usually solitary but occasionally up to 3, emerging from center of leaf crown, cylindrical ovoid with long gradually tapering blunt sterile apex, 6-15 cm long and 4-6 cm in diameter.","center","leaf crown","Y","Y",""
"116","The mesothorax with a central longitudinal slightly impressed line which extends from base to apex;","line",,"The mesothorax with a central longitudinal slightly impressed line which extends from base to apex;","line","mesothorax","The mesothorax with a central longitudinal slightly impressed line which extends from base to apex;","line","mesothorax","Y","Y",""
"117","The mesothorax with a central longitudinal slightly impressed line which extends from base to apex;","base",,"The mesothorax with a central longitudinal slightly impressed line which extends from base to apex;","base","mesothorax","The mesothorax with a central longitudinal slightly impressed line which extends from base to apex;","base","mesothorax","Y","Y",""
"118","The mesothorax with a central longitudinal slightly impressed line which extends from base to apex;","apex",,"The mesothorax with a central longitudinal slightly impressed line which extends from base to apex;","apex","mesothorax","The mesothorax with a central longitudinal slightly impressed line which extends from base to apex;","apex","mesothorax","Y","Y",""
"119","a similarly impressed bent line situated half-way between the centre and the tegulae;","line",,"a similarly impressed bent line situated half-way between the centre and the tegulae;","line","mesothorax","a similarly impressed bent line situated half-way between the centre and the tegulae;","line","mesothorax","Y","Y",""
"120","a similarly impressed bent line situated half-way between the centre and the tegulae;","centre",,"a similarly impressed bent line situated half-way between the centre and the tegulae;","center","mesothorax","a similarly impressed bent line situated half-way between the centre and the tegulae;","centre","mesothorax","Y","Y","not matched"
"121","Pileus 6-15 (-18) cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally plano-convex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area;","margin",,"Pileus 6-15 (-18) cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally plano-convex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area;","margin","pileus","Pileus 6-15 (-18) cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally plano-convex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area;","margin","pileus","Y","Y",""
"122","Pileus 6-15 (-18) cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally plano-convex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area;","centre",,"Pileus 6-15 (-18) cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally plano-convex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area;","center","pileus","Pileus 6-15 (-18) cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally plano-convex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area;","centre","pileus","Y","Y","not matched"
"123","Pileus 6-15 (-18) cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally plano-convex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area;","area","marginal","Pileus 6-15 (-18) cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally plano-convex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area;","area","pileus marginal","Pileus 6-15 (-18) cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally plano-convex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area;","area","pileus marginal","Y","Y",""
"124","Cap 9-12 cm, convex to somewhat centrally depressed, young convex with applanate centre and incurved margin connected to the stem by a thin, white, fimbriate-subscaly veil, margin finally straight and extending 2.5 mm beyond the gills, mostly with some remnants of veil, young white and densely fimbriate-small scaly, scales thin, somewhat larger and denser towards margin, centre ± cracking into coarser, ± brownish scales, but also often smooth.","centre",,"Cap 9-12 cm, convex to somewhat centrally depressed, young convex with applanate centre and incurved margin connected to the stem by a thin, white, fimbriate-subscaly veil, margin finally straight and extending 2.5 mm beyond the gills, mostly with some remnants of veil, young white and densely fimbriate-small scaly, scales thin, somewhat larger and denser towards margin, centre ± cracking into coarser, ± brownish scales, but also often smooth.","center","pileus","Cap 9-12 cm, convex to somewhat centrally depressed, young convex with applanate centre and incurved margin connected to the stem by a thin, white, fimbriate-subscaly veil, margin finally straight and extending 2.5 mm beyond the gills, mostly with some remnants of veil, young white and densely fimbriate-small scaly, scales thin, somewhat larger and denser towards margin, centre ± cracking into coarser, ± brownish scales, but also often smooth.","centre","cap","Y","N","not matched"
"125","Cap 9-12 cm, convex to somewhat centrally depressed, young convex with applanate centre and incurved margin connected to the stem by a thin, white, fimbriate-subscaly veil, margin finally straight and extending 2.5 mm beyond the gills, mostly with some remnants of veil, young white and densely fimbriate-small scaly, scales thin, somewhat larger and denser towards margin, centre ± cracking into coarser, ± brownish scales, but also often smooth.","margin",,"Cap 9-12 cm, convex to somewhat centrally depressed, young convex with applanate centre and incurved margin connected to the stem by a thin, white, fimbriate-subscaly veil, margin finally straight and extending 2.5 mm beyond the gills, mostly with some remnants of veil, young white and densely fimbriate-small scaly, scales thin, somewhat larger and denser towards margin, centre ± cracking into coarser, ± brownish scales, but also often smooth.","margin","pileus","Cap 9-12 cm, convex to somewhat centrally depressed, young convex with applanate centre and incurved margin connected to the stem by a thin, white, fimbriate-subscaly veil, margin finally straight and extending 2.5 mm beyond the gills, mostly with some remnants of veil, young white and densely fimbriate-small scaly, scales thin, somewhat larger and denser towards margin, centre ± cracking into coarser, ± brownish scales, but also often smooth.","margin","cap","Y","N",""
"126","Cap 9-12 cm, convex to somewhat centrally depressed, young convex with applanate centre and incurved margin connected to the stem by a thin, white, fimbriate-subscaly veil, margin finally straight and extending 2.5 mm beyond the gills, mostly with some remnants of veil, young white and densely fimbriate-small scaly, scales thin, somewhat larger and denser towards margin, centre ± cracking into coarser, ± brownish scales, but also often smooth.","margin",,"Cap 9-12 cm, convex to somewhat centrally depressed, young convex with applanate centre and incurved margin connected to the stem by a thin, white, fimbriate-subscaly veil, margin finally straight and extending 2.5 mm beyond the gills, mostly with some remnants of veil, young white and densely fimbriate-small scaly, scales thin, somewhat larger and denser towards margin, centre ± cracking into coarser, ± brownish scales, but also often smooth.","margin","pileus","Cap 9-12 cm, convex to somewhat centrally depressed, young convex with applanate centre and incurved margin connected to the stem by a thin, white, fimbriate-subscaly veil, margin finally straight and extending 2.5 mm beyond the gills, mostly with some remnants of veil, young white and densely fimbriate-small scaly, scales thin, somewhat larger and denser towards margin, centre ± cracking into coarser, ± brownish scales, but also often smooth.","margin","cap","Y","N",""
