"items","intext","outtext","goldtext","inname","inconstraint","outname","outconstraint","goldname","goldconstraint","changed","correct","entity_name matched"
"67","The mesothorax with a central longitudinal slightly impressed line which extends from base to apex;","The mesothorax with a central longitudinal slightly impressed line which extends from base to apex;","The mesothorax with a central longitudinal slightly impressed line which extends from base to apex;","line",,"line","mesothorax","line","mesothorax","Y","Y",""
"68","The mesothorax with a central longitudinal slightly impressed line which extends from base to apex;","The mesothorax with a central longitudinal slightly impressed line which extends from base to apex;","The mesothorax with a central longitudinal slightly impressed line which extends from base to apex;","base",,"base","mesothorax","base","mesothorax","Y","Y",""
"69","The mesothorax with a central longitudinal slightly impressed line which extends from base to apex;","The mesothorax with a central longitudinal slightly impressed line which extends from base to apex;","The mesothorax with a central longitudinal slightly impressed line which extends from base to apex;","apex",,"apex","mesothorax","apex","mesothorax","Y","Y",""
"70","Very variable in colour: some individuals black, with the flagellum, legs, thorax beneath, scale of the peduncle, and base of the abdomen beneath more or less ferruginous;","Very variable in colour: some individuals black, with the flagellum, legs, thorax beneath, scale of the peduncle, and base of the abdomen beneath more or less ferruginous;","Very variable in colour: some individuals black, with the flagellum, legs, thorax beneath, scale of the peduncle, and base of the abdomen beneath more or less ferruginous;","base",,"base","leg","base","abdomen","Y","N",""
"71","Leaflets 7-30 on each branch, sharply and regularly serrate, a few sometimes coarsely lacerate, obliquely lanceolate, decurrent at base, 7-15 cm long, 1.5-4 cm broad.","Leaflets 7-30 on each branch, sharply and regularly serrate, a few sometimes coarsely lacerate, obliquely lanceolate, decurrent at base, 7-15 cm long, 1.5-4 cm broad.","Leaflets 7-30 on each branch, sharply and regularly serrate, a few sometimes coarsely lacerate, obliquely lanceolate, decurrent at base, 7-15 cm long, 1.5-4 cm broad.","base",,"base","leaflet","base","leaflet","Y","Y",""
"72","lamina lanceolate, 50-55 mm long, 15-30 mm wide, regularly dentate, with 22-24 pungent lateral spines 1-4 mm long, 1-2 mm wide, apical spine distinct from lateral spines, 21-25 mm long, 5 mm wide at base.","lamina lanceolate, 50-55 mm long, 15-30 mm wide, regularly dentate, with 22-24 pungent lateral spines 1-4 mm long, 1-2 mm wide, apical spine distinct from lateral spines, 21-25 mm long, 5 mm wide at base.","lamina lanceolate, 50-55 mm long, 15-30 mm wide, regularly dentate, with 22-24 pungent lateral spines 1-4 mm long, 1-2 mm wide, apical spine distinct from lateral spines, 21-25 mm long, 5 mm wide at base.","base",,"base","lamina","base","lamina","Y","Y",""
"73","Stipe 3.5-8 x 0.9-2.5 cm, cylindrical to clavate, base at times slightly bulbous, narrowly fistulose, white, smooth above the annulus, glabrous to finely fibrillose-silky below, often with rhizoids, occasionally with short rhizomorphs.","Stipe 3.5-8 x 0.9-2.5 cm, cylindrical to clavate, base at times slightly bulbous, narrowly fistulose, white, smooth above the annulus, glabrous to finely fibrillose-silky below, often with rhizoids, occasionally with short rhizomorphs.","Stipe 3.5-8 x 0.9-2.5 cm, cylindrical to clavate, base at times slightly bulbous, narrowly fistulose, white, smooth above the annulus, glabrous to finely fibrillose-silky below, often with rhizoids, occasionally with short rhizomorphs.","base",,"base","stipe","base","stipe","Y","Y",""
"74","Plants strongly woody at bases;","Plants strongly woody at bases;","Plants strongly woody at bases;","base",,"base","plant","base","plant","Y","Y",""
"75","the mandibles ferruginous, longitudinally striated, and having two blunt teeth at their apex, their base, outer margins and apex black;","the mandibles ferruginous, longitudinally striated, and having two blunt teeth at their apex, their base, outer margins and apex black;","the mandibles ferruginous, longitudinally striated, and having two blunt teeth at their apex, their base, outer margins and apex black;","apex",,"apex","mandible","apex","mandible","Y","Y",""
"76","the mandibles ferruginous, longitudinally striated, and having two blunt teeth at their apex, their base, outer margins and apex black;","the mandibles ferruginous, longitudinally striated, and having two blunt teeth at their apex, their base, outer margins and apex black;","the mandibles ferruginous, longitudinally striated, and having two blunt teeth at their apex, their base, outer margins and apex black;","base",,"base","mandible","base","mandible","Y","Y",""
"77","the mandibles ferruginous, longitudinally striated, and having two blunt teeth at their apex, their base, outer margins and apex black;","the mandibles ferruginous, longitudinally striated, and having two blunt teeth at their apex, their base, outer margins and apex black;","the mandibles ferruginous, longitudinally striated, and having two blunt teeth at their apex, their base, outer margins and apex black;","margin","outer","margin","mandible outer","margin","mandible outer","Y","Y",""
"78","the mandibles ferruginous, longitudinally striated, and having two blunt teeth at their apex, their base, outer margins and apex black;","the mandibles ferruginous, longitudinally striated, and having two blunt teeth at their apex, their base, outer margins and apex black;","the mandibles ferruginous, longitudinally striated, and having two blunt teeth at their apex, their base, outer margins and apex black;","apex","outer","apex","mandible outer","apex","mandible outer","Y","Y",""
"79","Stipe (4-) 5-12 x (0.8-) 1.2-1.7 cm, fistulose, straight or flexuous, equal or more or less bulbous at base, 2-3 cm., with an apical annulus, above which pinkish at first, then greyish, and below with white, appressed fibrils which may coalesce into more or less visible transversal belts;","Stipe (4-) 5-12 x (0.8-) 1.2-1.7 cm, fistulose, straight or flexuous, equal or more or less bulbous at base, 2-3 cm., with an apical annulus, above which pinkish at first, then greyish, and below with white, appressed fibrils which may coalesce into more or less visible transversal belts;","Stipe (4-) 5-12 x (0.8-) 1.2-1.7 cm, fistulose, straight or flexuous, equal or more or less bulbous at base, 2-3 cm., with an apical annulus, above which pinkish at first, then greyish, and below with white, appressed fibrils which may coalesce into more or less visible transversal belts;","base",,"base","stipe","base","stipe","Y","Y",""
"80","Stipe (4-) 5-12 x (0.8-) 1.2-1.7 cm, fistulose, straight or flexuous, equal or more or less bulbous at base, 2-3 cm., with an apical annulus, above which pinkish at first, then greyish, and below with white, appressed fibrils which may coalesce into more or less visible transversal belts;","Stipe (4-) 5-12 x (0.8-) 1.2-1.7 cm, fistulose, straight or flexuous, equal or more or less bulbous at base, 2-3 cm., with an apical annulus, above which pinkish at first, then greyish, and below with white, appressed fibrils which may coalesce into more or less visible transversal belts;","Stipe (4-) 5-12 x (0.8-) 1.2-1.7 cm, fistulose, straight or flexuous, equal or more or less bulbous at base, 2-3 cm., with an apical annulus, above which pinkish at first, then greyish, and below with white, appressed fibrils which may coalesce into more or less visible transversal belts;","belt",,"belt","stipe","belt","stipe","Y","Y",""
"81","Pileus 3-8 cm in diameter, at first globose, then hemispherical with truncate margin, finally plano-convex or shallowly depressed in the middle.","Pileus 3-8 cm in diameter, at first globose, then hemispherical with truncate margin, finally plano-convex or shallowly depressed in the middle.","Pileus 3-8 cm in diameter, at first globose, then hemispherical with truncate margin, finally plano-convex or shallowly depressed in the middle.","margin",,"margin","pileus","margin","pileus","Y","Y",""
"82","Initially entirely covered, except for a narrow whitish marginal belt, 1-2 mm broad, with radial appressed fibrils, variable in colour, typically bright reddish-brown (copper), but also various shades of brown, fulvous-brown to dark-brown, almost blackish, with violaceous or purple tinges, after pileus expansion it may remain completely fibrillose, become fibrillose-squamose towards disc or squamose at disc with triangular concentrically-arranged scales and a lighter, almost white margin.","Initially entirely covered, except for a narrow whitish marginal belt, 1-2 mm broad, with radial appressed fibrils, variable in colour, typically bright reddish-brown (copper), but also various shades of brown, fulvous-brown to dark-brown, almost blackish, with violaceous or purple tinges, after pileus expansion it may remain completely fibrillose, become fibrillose-squamose towards disc or squamose at disc with triangular concentrically-arranged scales and a lighter, almost white margin.","Initially entirely covered, except for a narrow whitish marginal belt, 1-2 mm broad, with radial appressed fibrils, variable in colour, typically bright reddish-brown (copper), but also various shades of brown, fulvous-brown to dark-brown, almost blackish, with violaceous or purple tinges, after pileus expansion it may remain completely fibrillose, become fibrillose-squamose towards disc or squamose at disc with triangular concentrically-arranged scales and a lighter, almost white margin.","belt","marginal","belt","pileus marginal","belt","pileus marginal","Y","Y",""
"83","Initially entirely covered, except for a narrow whitish marginal belt, 1-2 mm broad, with radial appressed fibrils, variable in colour, typically bright reddish-brown (copper), but also various shades of brown, fulvous-brown to dark-brown, almost blackish, with violaceous or purple tinges, after pileus expansion it may remain completely fibrillose, become fibrillose-squamose towards disc or squamose at disc with triangular concentrically-arranged scales and a lighter, almost white margin.","Initially entirely covered, except for a narrow whitish marginal belt, 1-2 mm broad, with radial appressed fibrils, variable in colour, typically bright reddish-brown (copper), but also various shades of brown, fulvous-brown to dark-brown, almost blackish, with violaceous or purple tinges, after pileus expansion it may remain completely fibrillose, become fibrillose-squamose towards disc or squamose at disc with triangular concentrically-arranged scales and a lighter, almost white margin.","Initially entirely covered, except for a narrow whitish marginal belt, 1-2 mm broad, with radial appressed fibrils, variable in colour, typically bright reddish-brown (copper), but also various shades of brown, fulvous-brown to dark-brown, almost blackish, with violaceous or purple tinges, after pileus expansion it may remain completely fibrillose, become fibrillose-squamose towards disc or squamose at disc with triangular concentrically-arranged scales and a lighter, almost white margin.","margin",,"margin","scale","margin","pileus","Y","N",""
"84","the flagellum, coxae and femora, and the base of the abdomen beneath, usually more or less ferruginous;","the flagellum, coxae and femora, and the base of the abdomen beneath, usually more or less ferruginous;","the flagellum, coxae and femora, and the base of the abdomen beneath, usually more or less ferruginous;","base",,"base","abdomen","base","abdomen","Y","Y",""
"85","Pappus lengths ca. 2 times cypsela bodies.","Pappus lengths ca. 2 times cypsela bodies.","Pappus lengths ca. 2 times cypsela bodies.","body","cypsela","body","cypsela","body","cypsela","N","Y",""
"86","Cypselae monomorphic or dimorphic within heads, usually ± columnar to prismatic and 5-ribbed, sometimes compressed and 2-ribbed, rarely beaked, bodies smooth, muricate, ribbed, or rugulose (glabrous or hairy, hairs often glandular);","Cypselae monomorphic or dimorphic within heads, usually ± columnar to prismatic and 5-ribbed, sometimes compressed and 2-ribbed, rarely beaked, bodies smooth, muricate, ribbed, or rugulose (glabrous or hairy, hairs often glandular);","Cypselae monomorphic or dimorphic within heads, usually ± columnar to prismatic and 5-ribbed, sometimes compressed and 2-ribbed, rarely beaked, bodies smooth, muricate, ribbed, or rugulose (glabrous or hairy, hairs often glandular);","body",,"body","cypsela","body","cypsela","Y","Y",""
"87","the eyes circular and very prominent, situated a little before the middle, at the sides of the head;","the eyes circular and very prominent, situated a little before the middle, at the sides of the head;","the eyes circular and very prominent, situated a little before the middle, at the sides of the head;","side",,"side","head","side","head","Y","Y",""
"88","the antennae inserted forward on the face in deep cavities close to the base of the clypeus;","the antennae inserted forward on the face in deep cavities close to the base of the clypeus;","the antennae inserted forward on the face in deep cavities close to the base of the clypeus;","face",,"face","head","face","head","Y","Y",""
"89","the antennae inserted forward on the face in deep cavities close to the base of the clypeus;","the antennae inserted forward on the face in deep cavities close to the base of the clypeus;","the antennae inserted forward on the face in deep cavities close to the base of the clypeus;","cavity",,"cavity","head face","cavity","head face","Y","Y",""
"90","the antennae inserted forward on the face in deep cavities close to the base of the clypeus;","the antennae inserted forward on the face in deep cavities close to the base of the clypeus;","the antennae inserted forward on the face in deep cavities close to the base of the clypeus;","base",,"base","clypeus","base","clypeus","Y","Y",""
"91","phyllary apices conduplicate, swollen, appearing abaxially keeled;","phyllary apices conduplicate, swollen, appearing abaxially keeled;","phyllary apices conduplicate, swollen, appearing abaxially keeled;","apex","phyllary","apex","phyllary","apex","phyllary","N","Y",""
"92","cypsela faces pebbly or warty with raised oil cavities, glabrous.","cypsela faces pebbly or warty with raised oil cavities, glabrous.","cypsela faces pebbly or warty with raised oil cavities, glabrous.","face","cypsela","face","cypsela","face","cypsela","N","Y",""
"93","cypsela faces pebbly or warty with raised oil cavities, glabrous.","cypsela faces pebbly or warty with raised oil cavities, glabrous.","cypsela faces pebbly or warty with raised oil cavities, glabrous.","cavity","oil","cavity","cypsela face oil","cavity","cypsela face oil","Y","Y",""
"94","Cypselae 0.9–1.6 mm, faces without oil cavities, densely strigoso-sericeous (hair apices prominently bulbous-capitate);","Cypselae 0.9–1.6 mm, faces without oil cavities, densely strigoso-sericeous (hair apices prominently bulbous-capitate);","Cypselae 0.9–1.6 mm, faces without oil cavities, densely strigoso-sericeous (hair apices prominently bulbous-capitate);","face",,"face","cypsela","face","cypsela","Y","Y",""
"95","Cypselae 0.9–1.6 mm, faces without oil cavities, densely strigoso-sericeous (hair apices prominently bulbous-capitate);","Cypselae 0.9–1.6 mm, faces without oil cavities, densely strigoso-sericeous (hair apices prominently bulbous-capitate);","Cypselae 0.9–1.6 mm, faces without oil cavities, densely strigoso-sericeous (hair apices prominently bulbous-capitate);","cavity","oil","cavity","cypsela face oil","cavity","cypsela face oil","Y","Y",""
"96","phyllary apices flat;","phyllary apices flat;","phyllary apices flat;","apex","phyllary","apex","phyllary","apex","phyllary","N","Y",""
"97","cypsela faces moderately to densely hairy, never with oil cavities.","cypsela faces moderately to densely hairy, never with oil cavities.","cypsela faces moderately to densely hairy, never with oil cavities.","face","cypsela","face","cypsela","face","cypsela","N","Y",""
"98","cypsela faces moderately to densely hairy, never with oil cavities.","cypsela faces moderately to densely hairy, never with oil cavities.","cypsela faces moderately to densely hairy, never with oil cavities.","cavity","oil","cavity","cypsela face oil","cavity","cypsela face oil","Y","Y",""
"99","the abdomen fuscous, with the apical margins of the segments ochraceous;","the abdomen fuscous, with the apical margins of the segments ochraceous;","the abdomen fuscous, with the apical margins of the segments ochraceous;","margin","apical","margin","segment apical","margin","segment apical","Y","Y",""
"100","the node of the peduncle incrassate, oblong, narrowed and slightly notched at the apex above;","the node of the peduncle incrassate, oblong, narrowed and slightly notched at the apex above;","the node of the peduncle incrassate, oblong, narrowed and slightly notched at the apex above;","apex",,"apex","node","apex","node","Y","Y",""
"101","wings fusco-hyaline, the first submarginal cell elongate, of nearly equal width throughout, very slightly widened at the apex;","wings fusco-hyaline, the first submarginal cell elongate, of nearly equal width throughout, very slightly widened at the apex;","wings fusco-hyaline, the first submarginal cell elongate, of nearly equal width throughout, very slightly widened at the apex;","cell","submarginal","cell","wing submarginal","cell","wing submarginal","Y","Y",""
"102","wings fusco-hyaline, the first submarginal cell elongate, of nearly equal width throughout, very slightly widened at the apex;","wings fusco-hyaline, the first submarginal cell elongate, of nearly equal width throughout, very slightly widened at the apex;","wings fusco-hyaline, the first submarginal cell elongate, of nearly equal width throughout, very slightly widened at the apex;","apex",,"apex","wing submarginal cell","apex","wing submarginal cell","Y","Y",""
"103","the mandibles more distinctly serrated, the sulcations on the sides of the face anteriorly, not so deeply impressed, or so smooth and shining, they also terminate before reaching the ocelli;","the mandibles more distinctly serrated, the sulcations on the sides of the face anteriorly, not so deeply impressed, or so smooth and shining, they also terminate before reaching the ocelli;","the mandibles more distinctly serrated, the sulcations on the sides of the face anteriorly, not so deeply impressed, or so smooth and shining, they also terminate before reaching the ocelli;","side",,"side","mandible face","side","mandible face","Y","Y",""
"104","the mandibles more distinctly serrated, the sulcations on the sides of the face anteriorly, not so deeply impressed, or so smooth and shining, they also terminate before reaching the ocelli;","the mandibles more distinctly serrated, the sulcations on the sides of the face anteriorly, not so deeply impressed, or so smooth and shining, they also terminate before reaching the ocelli;","the mandibles more distinctly serrated, the sulcations on the sides of the face anteriorly, not so deeply impressed, or so smooth and shining, they also terminate before reaching the ocelli;","face",,"face","mandible","face","mandible","Y","Y",""
"105","the line running from the ocelli to the posterior margin of the vertex not so deeply impressed;","the line running from the ocelli to the posterior margin of the vertex not so deeply impressed;","the line running from the ocelli to the posterior margin of the vertex not so deeply impressed;","line",,"line","vertex posterior margin","line","mandible","Y","N",""
"106","the line running from the ocelli to the posterior margin of the vertex not so deeply impressed;","the line running from the ocelli to the posterior margin of the vertex not so deeply impressed;","the line running from the ocelli to the posterior margin of the vertex not so deeply impressed;","margin","posterior","margin","vertex posterior","margin","vertex posterior","Y","Y",""
"107","the discoidal cell of a somewhat different form, and the externo-medial nervure straight, and unites with the transverso-medial nervure at the basal angle of the discoidal cell;","the discoidal cell of a somewhat different form, and the externo-medial nervure straight, and unites with the transverso-medial nervure at the basal angle of the discoidal cell;","the discoidal cell of a somewhat different form, and the externo-medial nervure straight, and unites with the transverso-medial nervure at the basal angle of the discoidal cell;","cell",,"cell","neuration","cell","neuration","Y","Y",""
"108","the discoidal cell of a somewhat different form, and the externo-medial nervure straight, and unites with the transverso-medial nervure at the basal angle of the discoidal cell;","the discoidal cell of a somewhat different form, and the externo-medial nervure straight, and unites with the transverso-medial nervure at the basal angle of the discoidal cell;","the discoidal cell of a somewhat different form, and the externo-medial nervure straight, and unites with the transverso-medial nervure at the basal angle of the discoidal cell;","cell","","cell","neuration","cell","neuration","Y","Y",""
"109","Annulus lower surface constituted by cylindrical hyphae, 3-10 (-12) µm wide, with swellings and narrowings, often branched, hardly constricted at septa, and 12-17 µm wide hyphae, hyphal cell extremities more rounded and consequently easily disarticulating.","Annulus lower surface constituted by cylindrical hyphae, 3-10 (-12) µm wide, with swellings and narrowings, often branched, hardly constricted at septa, and 12-17 µm wide hyphae, hyphal cell extremities more rounded and consequently easily disarticulating.","Annulus lower surface constituted by cylindrical hyphae, 3-10 (-12) µm wide, with swellings and narrowings, often branched, hardly constricted at septa, and 12-17 µm wide hyphae, hyphal cell extremities more rounded and consequently easily disarticulating.","surface","lower","surface","annulus lower","surface","annulus lower","Y","Y",""
"110","Leaflets simple, entire, with numerous bifurcating parallel veins and no distinct midrib, leaflets articulated, inserted near the edges of the rhachis towards the adaxial side, lacking a differently coloured basal gland;","Leaflets simple, entire, with numerous bifurcating parallel veins and no distinct midrib, leaflets articulated, inserted near the edges of the rhachis towards the adaxial side, lacking a differently coloured basal gland;","Leaflets simple, entire, with numerous bifurcating parallel veins and no distinct midrib, leaflets articulated, inserted near the edges of the rhachis towards the adaxial side, lacking a differently coloured basal gland;","edge",,"edge","rhachi","edge","rhachi","Y","Y",""
"111","Leaflets simple, entire, with numerous bifurcating parallel veins and no distinct midrib, leaflets articulated, inserted near the edges of the rhachis towards the adaxial side, lacking a differently coloured basal gland;","Leaflets simple, entire, with numerous bifurcating parallel veins and no distinct midrib, leaflets articulated, inserted near the edges of the rhachis towards the adaxial side, lacking a differently coloured basal gland;","Leaflets simple, entire, with numerous bifurcating parallel veins and no distinct midrib, leaflets articulated, inserted near the edges of the rhachis towards the adaxial side, lacking a differently coloured basal gland;","side","adaxial","side","leaflet adaxial","side","leaflet adaxial","Y","Y",""
"112","stomata on lower surface only or on both surfaces;","stomata on lower surface only or on both surfaces;","stomata on lower surface only or on both surfaces;","surface","lower","surface","leaflet lower","surface","leaflet lower","Y","Y",""
"113","stomata on lower surface only or on both surfaces;","stomata on lower surface only or on both surfaces;","stomata on lower surface only or on both surfaces;","surface",,"surface","leaflet","surface","leaflet","Y","Y",""
"114","Anterior wings with one marginal and two submarginal cells;","Anterior wings with one marginal and two submarginal cells;","Anterior wings with one marginal and two submarginal cells;","cell","submarginal","cell","anterior wing submarginal","cell","anterior wing submarginal","Y","Y",""
"115","the discoidal cells obsolete.","the discoidal cells obsolete.","the discoidal cells obsolete.","cell",,"cell","anterior wing","cell","anterior wing","Y","Y",""
"116","Labrum transverse, its anterior margin deeply emarginate.","Labrum transverse, its anterior margin deeply emarginate.","Labrum transverse, its anterior margin deeply emarginate.","margin","anterior","margin","labrum anterior","margin","labrum anterior","Y","Y",""
"117","Superior wings with one marginal and two submarginal cells.","Superior wings with one marginal and two submarginal cells.","Superior wings with one marginal and two submarginal cells.","cell","submarginal","cell","superior wing submarginal","cell","superior wing submarginal","Y","Y",""
"118","Seed-cones dark-brown, usually solitary but occasionally up to 3, emerging from center of leaf crown, cylindrical ovoid with long gradually tapering blunt sterile apex, 6-15 cm long and 4-6 cm in diameter.","Seed-cones dark-brown, usually solitary but occasionally up to 3, emerging from center of leaf crown, cylindrical ovoid with long gradually tapering blunt sterile apex, 6-15 cm long and 4-6 cm in diameter.","Seed-cones dark-brown, usually solitary but occasionally up to 3, emerging from center of leaf crown, cylindrical ovoid with long gradually tapering blunt sterile apex, 6-15 cm long and 4-6 cm in diameter.","center",,"center","leaf crown","center","leaf crown","Y","Y",""
"119","Seed-cones dark-brown, usually solitary but occasionally up to 3, emerging from center of leaf crown, cylindrical ovoid with long gradually tapering blunt sterile apex, 6-15 cm long and 4-6 cm in diameter.","Seed-cones dark-brown, usually solitary but occasionally up to 3, emerging from center of leaf crown, cylindrical ovoid with long gradually tapering blunt sterile apex, 6-15 cm long and 4-6 cm in diameter.","Seed-cones dark-brown, usually solitary but occasionally up to 3, emerging from center of leaf crown, cylindrical ovoid with long gradually tapering blunt sterile apex, 6-15 cm long and 4-6 cm in diameter.","apex","leaf","apex","leaf","apex","leaf","N","Y",""
"120","The mesothorax with a central longitudinal slightly impressed line which extends from base to apex;","The mesothorax with a central longitudinal slightly impressed line which extends from base to apex;","The mesothorax with a central longitudinal slightly impressed line which extends from base to apex;","line",,"line","mesothorax","line","mesothorax","Y","Y",""
"121","The mesothorax with a central longitudinal slightly impressed line which extends from base to apex;","The mesothorax with a central longitudinal slightly impressed line which extends from base to apex;","The mesothorax with a central longitudinal slightly impressed line which extends from base to apex;","base",,"base","mesothorax","base","mesothorax","Y","Y",""
"122","The mesothorax with a central longitudinal slightly impressed line which extends from base to apex;","The mesothorax with a central longitudinal slightly impressed line which extends from base to apex;","The mesothorax with a central longitudinal slightly impressed line which extends from base to apex;","apex",,"apex","mesothorax","apex","mesothorax","Y","Y",""
"123","a similarly impressed bent line situated half-way between the centre and the tegulae;","a similarly impressed bent line situated half-way between the centre and the tegulae;","a similarly impressed bent line situated half-way between the centre and the tegulae;","line",,"line","mesothorax","line","mesothorax","Y","Y",""
"124","a similarly impressed bent line situated half-way between the centre and the tegulae;","a similarly impressed bent line situated half-way between the centre and the tegulae;","a similarly impressed bent line situated half-way between the centre and the tegulae;","centre",,"centre","mesothorax","centre","mesothorax","Y","Y",""
"125","Pileus 6-15 (-18) cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally plano-convex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area;","Pileus 6-15 (-18) cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally plano-convex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area;","Pileus 6-15 (-18) cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally plano-convex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area;","margin",,"margin","pileus","margin","pileus","Y","Y",""
"126","Pileus 6-15 (-18) cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally plano-convex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area;","Pileus 6-15 (-18) cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally plano-convex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area;","Pileus 6-15 (-18) cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally plano-convex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area;","centre",,"centre","pileus","centre","pileus","Y","Y",""
"127","Pileus 6-15 (-18) cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally plano-convex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area;","Pileus 6-15 (-18) cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally plano-convex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area;","Pileus 6-15 (-18) cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally plano-convex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area;","area","marginal","area","pileus marginal","area","pileus marginal","Y","Y",""
"128","Cap 9-12 cm, convex to somewhat centrally depressed, young convex with applanate centre and incurved margin connected to the stem by a thin, white, fimbriate-subscaly veil, margin finally straight and extending 2.5 mm beyond the gills, mostly with some remnants of veil, young white and densely fimbriate-small scaly, scales thin, somewhat larger and denser towards margin, centre ± cracking into coarser, ± brownish scales, but also often smooth.","Cap 9-12 cm, convex to somewhat centrally depressed, young convex with applanate centre and incurved margin connected to the stem by a thin, white, fimbriate-subscaly veil, margin finally straight and extending 2.5 mm beyond the gills, mostly with some remnants of veil, young white and densely fimbriate-small scaly, scales thin, somewhat larger and denser towards margin, centre ± cracking into coarser, ± brownish scales, but also often smooth.","Cap 9-12 cm, convex to somewhat centrally depressed, young convex with applanate centre and incurved margin connected to the stem by a thin, white, fimbriate-subscaly veil, margin finally straight and extending 2.5 mm beyond the gills, mostly with some remnants of veil, young white and densely fimbriate-small scaly, scales thin, somewhat larger and denser towards margin, centre ± cracking into coarser, ± brownish scales, but also often smooth.","centre",,"centre","pileus","centre","pileus","Y","Y",""
"129","Cap 9-12 cm, convex to somewhat centrally depressed, young convex with applanate centre and incurved margin connected to the stem by a thin, white, fimbriate-subscaly veil, margin finally straight and extending 2.5 mm beyond the gills, mostly with some remnants of veil, young white and densely fimbriate-small scaly, scales thin, somewhat larger and denser towards margin, centre ± cracking into coarser, ± brownish scales, but also often smooth.","Cap 9-12 cm, convex to somewhat centrally depressed, young convex with applanate centre and incurved margin connected to the stem by a thin, white, fimbriate-subscaly veil, margin finally straight and extending 2.5 mm beyond the gills, mostly with some remnants of veil, young white and densely fimbriate-small scaly, scales thin, somewhat larger and denser towards margin, centre ± cracking into coarser, ± brownish scales, but also often smooth.","Cap 9-12 cm, convex to somewhat centrally depressed, young convex with applanate centre and incurved margin connected to the stem by a thin, white, fimbriate-subscaly veil, margin finally straight and extending 2.5 mm beyond the gills, mostly with some remnants of veil, young white and densely fimbriate-small scaly, scales thin, somewhat larger and denser towards margin, centre ± cracking into coarser, ± brownish scales, but also often smooth.","margin",,"margin","scale","margin","pileus","Y","N",""
"130","Cap 9-12 cm, convex to somewhat centrally depressed, young convex with applanate centre and incurved margin connected to the stem by a thin, white, fimbriate-subscaly veil, margin finally straight and extending 2.5 mm beyond the gills, mostly with some remnants of veil, young white and densely fimbriate-small scaly, scales thin, somewhat larger and denser towards margin, centre ± cracking into coarser, ± brownish scales, but also often smooth.","Cap 9-12 cm, convex to somewhat centrally depressed, young convex with applanate centre and incurved margin connected to the stem by a thin, white, fimbriate-subscaly veil, margin finally straight and extending 2.5 mm beyond the gills, mostly with some remnants of veil, young white and densely fimbriate-small scaly, scales thin, somewhat larger and denser towards margin, centre ± cracking into coarser, ± brownish scales, but also often smooth.","Cap 9-12 cm, convex to somewhat centrally depressed, young convex with applanate centre and incurved margin connected to the stem by a thin, white, fimbriate-subscaly veil, margin finally straight and extending 2.5 mm beyond the gills, mostly with some remnants of veil, young white and densely fimbriate-small scaly, scales thin, somewhat larger and denser towards margin, centre ± cracking into coarser, ± brownish scales, but also often smooth.","margin",,"margin","scale","margin","pileus","Y","N",""
