"items","intext","outtext","goldtext","inname","inconstraint","outname","outconstraint","goldname","goldconstraint","changed","correct","entity_name matched"
"67","Annulus lower surface constituted by cylindrical hyphae which frequently branched, hardly constricted at septa and 4-9 µm wide, and hyphae 9-11 µm wide, whose hyphal cells show more rounded extremities and consequently easily disarticulated.","Annulus lower surface constituted by cylindrical hyphae which frequently branched, hardly constricted at septa and 4-9 µm wide, and hyphae 9-11 µm wide, whose hyphal cells show more rounded extremities and consequently easily disarticulated.","Annulus lower surface constituted by cylindrical hyphae which frequently branched, hardly constricted at septa and 4-9 µm wide, and hyphae 9-11 µm wide, whose hyphal cells show more rounded extremities and consequently easily disarticulated.","cell","hyphal","cell","hyphal","cell","hyphal","N","Y",""
"68","Annulus lower surface constituted by thin, cylindrical hyphae, 4-10 µm wide, without elements easily disarticulating into isolated hyphal cells with rounded ends.","Annulus lower surface constituted by thin, cylindrical hyphae, 4-10 µm wide, without elements easily disarticulating into isolated hyphal cells with rounded ends.","Annulus lower surface constituted by thin, cylindrical hyphae, 4-10 µm wide, without elements easily disarticulating into isolated hyphal cells with rounded ends.","surface","lower","surface","annulus lower","surface","annulus lower","Y","Y",""
"69","Annulus lower surface constituted by thin, cylindrical hyphae, 4-10 µm wide, without elements easily disarticulating into isolated hyphal cells with rounded ends.","Annulus lower surface constituted by thin, cylindrical hyphae, 4-10 µm wide, without elements easily disarticulating into isolated hyphal cells with rounded ends.","Annulus lower surface constituted by thin, cylindrical hyphae, 4-10 µm wide, without elements easily disarticulating into isolated hyphal cells with rounded ends.","element",,"element","hypha","element","hypha","Y","Y",""
"70","Annulus lower surface constituted by thin, cylindrical hyphae, 4-10 µm wide, without elements easily disarticulating into isolated hyphal cells with rounded ends.","Annulus lower surface constituted by thin, cylindrical hyphae, 4-10 µm wide, without elements easily disarticulating into isolated hyphal cells with rounded ends.","Annulus lower surface constituted by thin, cylindrical hyphae, 4-10 µm wide, without elements easily disarticulating into isolated hyphal cells with rounded ends.","cell","hyphal","cell","hyphal","cell","hyphal","N","Y",""
"71","Annulus lower surface constituted by thin, cylindrical hyphae, 4-10 µm wide, without elements easily disarticulating into isolated hyphal cells with rounded ends.","Annulus lower surface constituted by thin, cylindrical hyphae, 4-10 µm wide, without elements easily disarticulating into isolated hyphal cells with rounded ends.","Annulus lower surface constituted by thin, cylindrical hyphae, 4-10 µm wide, without elements easily disarticulating into isolated hyphal cells with rounded ends.","end",,"end","hyphal cell","end","hyphal cell","Y","Y",""
"72","In the Alaimina the anterior part of the pharynx slender and the posterior third enlarged.","In the Alaimina the anterior part of the pharynx slender and the posterior third enlarged.","In the Alaimina the anterior part of the pharynx slender and the posterior third enlarged.","part","anterior","part","pharynx anterior","part","pharynx anterior","Y","Y",""
"73","The pharyngo-intestinal valve generally imbedded within the anterior intestinal cells;","The pharyngo-intestinal valve generally imbedded within the anterior intestinal cells;","The pharyngo-intestinal valve generally imbedded within the anterior intestinal cells;","cell","anterior intestinal","cell","anterior intestinal","cell","anterior intestinal","N","Y",""
"74","The pharyngo-intestinal valve generally imbedded within the anterior intestinal cells;","The pharyngo-intestinal valve generally imbedded within the anterior intestinal cells;","The pharyngo-intestinal valve generally imbedded within the anterior intestinal cells;","cell","gland","cell","gland","cell","gland","N","Y",""
"75","Figure 2 shows the head tilted slightly back from the fullface view plane, so that the posterior cephalic margin appears straight and slightly surpassed by the scapes laid back in repose.","Figure 2 shows the head tilted slightly back from the fullface view plane, so that the posterior cephalic margin appears straight and slightly surpassed by the scapes laid back in repose.","Figure 2 shows the head tilted slightly back from the fullface view plane, so that the posterior cephalic margin appears straight and slightly surpassed by the scapes laid back in repose.","margin","posterior cephalic","margin","posterior cephalic","margin","posterior cephalic","N","Y",""
"76","The median area about half the diameter of the valve, tangentially waved and one or more large pores located at distance from the center.","The median area about half the diameter of the valve, tangentially waved and one or more large pores located at distance from the center.","The median area about half the diameter of the valve, tangentially waved and one or more large pores located at distance from the center.","area","median","area","valve median","area","valve median","Y","Y",""
"77","The median area about half the diameter of the valve, tangentially waved and one or more large pores located at distance from the center.","The median area about half the diameter of the valve, tangentially waved and one or more large pores located at distance from the center.","The median area about half the diameter of the valve, tangentially waved and one or more large pores located at distance from the center.","pore",,"pore","valve median area","pore","valve median area","Y","Y",""
"78","The median area about half the diameter of the valve, tangentially waved and one or more large pores located at distance from the center.","The median area about half the diameter of the valve, tangentially waved and one or more large pores located at distance from the center.","The median area about half the diameter of the valve, tangentially waved and one or more large pores located at distance from the center.","center",,"center","valve","center","valve","Y","Y",""
"79","remainder of head and underparts orange-yellow, interrupted by black eye-line and black on chin and center of throat.","remainder of head and underparts orange-yellow, interrupted by black eye-line and black on chin and center of throat.","remainder of head and underparts orange-yellow, interrupted by black eye-line and black on chin and center of throat.","center",,"center","throat","center","throat","Y","Y",""
"80","Indusium brown with a darker centre and coloured glands on margins.","Indusium brown with a darker centre and coloured glands on margins.","Indusium brown with a darker centre and coloured glands on margins.","centre",,"centre","indusium","centre","indusium","Y","Y",""
"81","Indusium brown with a darker centre and coloured glands on margins.","Indusium brown with a darker centre and coloured glands on margins.","Indusium brown with a darker centre and coloured glands on margins.","margin","indusium","margin","indusium","margin","indusium","N","Y",""
"82","Ehrenberg collection, lbv Valves circular, plane to slightly arched with regular, branched striation and a centre with distinct ornamentation.","Ehrenberg collection, lbv Valves circular, plane to slightly arched with regular, branched striation and a centre with distinct ornamentation.","Ehrenberg collection, lbv Valves circular, plane to slightly arched with regular, branched striation and a centre with distinct ornamentation.","centre","valve","centre","valve","centre","valve","N","Y",""
"83","Sulcus reaching from just behind apex all the way to antapex, with slight, left deflection in girdle region, rather narrow on epicone, wide on hypocone;","Sulcus reaching from just behind apex all the way to antapex, with slight, left deflection in girdle region, rather narrow on epicone, wide on hypocone;","Sulcus reaching from just behind apex all the way to antapex, with slight, left deflection in girdle region, rather narrow on epicone, wide on hypocone;","apex",,"apex","hypocone","apex","hypocone","Y","Y",""
"84","anterior flagellar chamber a posteriorly pointed, finger-shaped cavity;","anterior flagellar chamber a posteriorly pointed, finger-shaped cavity;","anterior flagellar chamber a posteriorly pointed, finger-shaped cavity;","chamber","flagellar","chamber","flagellar","chamber","flagellar","N","Y",""
"85","anterior flagellar chamber a posteriorly pointed, finger-shaped cavity;","anterior flagellar chamber a posteriorly pointed, finger-shaped cavity;","anterior flagellar chamber a posteriorly pointed, finger-shaped cavity;","cavity",,"cavity","flagellar","cavity","flagellar","Y","Y",""
"86","posterior flagellar chamber an underhollowing of left sulcal margin opposite right girdle limb.","posterior flagellar chamber an underhollowing of left sulcal margin opposite right girdle limb.","posterior flagellar chamber an underhollowing of left sulcal margin opposite right girdle limb.","chamber","flagellar","chamber","flagellar","chamber","flagellar","N","Y",""
"87","posterior flagellar chamber an underhollowing of left sulcal margin opposite right girdle limb.","posterior flagellar chamber an underhollowing of left sulcal margin opposite right girdle limb.","posterior flagellar chamber an underhollowing of left sulcal margin opposite right girdle limb.","margin","sulcal","margin","sulcal","margin","sulcal","N","Y",""
"88","Buccal cavity well developed, mostly consisting of different chambers and armed with teeth or denticles.","Buccal cavity well developed, mostly consisting of different chambers and armed with teeth or denticles.","Buccal cavity well developed, mostly consisting of different chambers and armed with teeth or denticles.","cavity","buccal","cavity","buccal","cavity","buccal","N","Y",""
"89","Buccal cavity well developed, mostly consisting of different chambers and armed with teeth or denticles.","Buccal cavity well developed, mostly consisting of different chambers and armed with teeth or denticles.","Buccal cavity well developed, mostly consisting of different chambers and armed with teeth or denticles.","chamber",,"chamber","buccal cavity","chamber","buccal cavity","Y","Y",""
"90","In many samples all costulae run straight back on the head, but commonly the outermost components tend to curve outwards behind the eyes.","In many samples all costulae run straight back on the head, but commonly the outermost components tend to curve outwards behind the eyes.","In many samples all costulae run straight back on the head, but commonly the outermost components tend to curve outwards behind the eyes.","component","outermost","component","costula outermost","component","costula outermost","Y","Y",""
"91","Dorsal alitrunk densely costulate or rugose, the usual pattern with arched transverse sculpture on the anterior part of the pronotum followed by an area of longitudinal sculpture which runs back just beyond the mesothoracic spiracles, followed by coarser transverse sculpture on the remainder of the alitrunk dorsum.","Dorsal alitrunk densely costulate or rugose, the usual pattern with arched transverse sculpture on the anterior part of the pronotum followed by an area of longitudinal sculpture which runs back just beyond the mesothoracic spiracles, followed by coarser transverse sculpture on the remainder of the alitrunk dorsum.","Dorsal alitrunk densely costulate or rugose, the usual pattern with arched transverse sculpture on the anterior part of the pronotum followed by an area of longitudinal sculpture which runs back just beyond the mesothoracic spiracles, followed by coarser transverse sculpture on the remainder of the alitrunk dorsum.","part","anterior","part","pronotum anterior","part","pronotum anterior","Y","Y",""
"92","Dorsal alitrunk densely costulate or rugose, the usual pattern with arched transverse sculpture on the anterior part of the pronotum followed by an area of longitudinal sculpture which runs back just beyond the mesothoracic spiracles, followed by coarser transverse sculpture on the remainder of the alitrunk dorsum.","Dorsal alitrunk densely costulate or rugose, the usual pattern with arched transverse sculpture on the anterior part of the pronotum followed by an area of longitudinal sculpture which runs back just beyond the mesothoracic spiracles, followed by coarser transverse sculpture on the remainder of the alitrunk dorsum.","Dorsal alitrunk densely costulate or rugose, the usual pattern with arched transverse sculpture on the anterior part of the pronotum followed by an area of longitudinal sculpture which runs back just beyond the mesothoracic spiracles, followed by coarser transverse sculpture on the remainder of the alitrunk dorsum.","area",,"area","dorsal alitrunk","area","sculpture","Y","N",""
"93","Exceptions to this usually due to the extension of the longitudinal component on the pronotum at the expense of the transverse.","Exceptions to this usually due to the extension of the longitudinal component on the pronotum at the expense of the transverse.","Exceptions to this usually due to the extension of the longitudinal component on the pronotum at the expense of the transverse.","component",,"component","pronotum","component","pronotum","Y","Y",""
"94","Some with the posterodorsal angle of the petiole more rounded and the pronotal sculpture showing the usual variation, with differences in extent and direction of the longitudinal component.","Some with the posterodorsal angle of the petiole more rounded and the pronotal sculpture showing the usual variation, with differences in extent and direction of the longitudinal component.","Some with the posterodorsal angle of the petiole more rounded and the pronotal sculpture showing the usual variation, with differences in extent and direction of the longitudinal component.","component",,"component","sculpture","component","sculpture","Y","Y",""
"95","Orthometanemes always occur on the dorsal and often also at the ventral edge of the epidermal chord: respectively referred to as dorsolateral and ventrolateral orthometanemes.","Orthometanemes always occur on the dorsal and often also at the ventral edge of the epidermal chord: respectively referred to as dorsolateral and ventrolateral orthometanemes.","Orthometanemes always occur on the dorsal and often also at the ventral edge of the epidermal chord: respectively referred to as dorsolateral and ventrolateral orthometanemes.","edge","dorsal","edge","chord dorsal","edge","chord dorsal","Y","Y",""
"96","Orthometanemes always occur on the dorsal and often also at the ventral edge of the epidermal chord: respectively referred to as dorsolateral and ventrolateral orthometanemes.","Orthometanemes always occur on the dorsal and often also at the ventral edge of the epidermal chord: respectively referred to as dorsolateral and ventrolateral orthometanemes.","Orthometanemes always occur on the dorsal and often also at the ventral edge of the epidermal chord: respectively referred to as dorsolateral and ventrolateral orthometanemes.","edge","ventral","edge","chord ventral","edge","chord ventral","Y","Y",""
"97","A cilium situated in the core of each spindle shown: the anterior component a process from a modified single ciliated epidermal-cell, and the posterior component a dendrite of a nerve cell.","A cilium situated in the core of each spindle shown: the anterior component a process from a modified single ciliated epidermal-cell, and the posterior component a dendrite of a nerve cell.","A cilium situated in the core of each spindle shown: the anterior component a process from a modified single ciliated epidermal-cell, and the posterior component a dendrite of a nerve cell.","component","anterior","component","spindle anterior","component","spindle anterior","Y","Y",""
"98","A cilium situated in the core of each spindle shown: the anterior component a process from a modified single ciliated epidermal-cell, and the posterior component a dendrite of a nerve cell.","A cilium situated in the core of each spindle shown: the anterior component a process from a modified single ciliated epidermal-cell, and the posterior component a dendrite of a nerve cell.","A cilium situated in the core of each spindle shown: the anterior component a process from a modified single ciliated epidermal-cell, and the posterior component a dendrite of a nerve cell.","component","posterior","component","spindle posterior","component","spindle posterior","Y","Y",""
"99","A cilium situated in the core of each spindle shown: the anterior component a process from a modified single ciliated epidermal-cell, and the posterior component a dendrite of a nerve cell.","A cilium situated in the core of each spindle shown: the anterior component a process from a modified single ciliated epidermal-cell, and the posterior component a dendrite of a nerve cell.","A cilium situated in the core of each spindle shown: the anterior component a process from a modified single ciliated epidermal-cell, and the posterior component a dendrite of a nerve cell.","cell","nerve","cell","nerve","cell","nerve","N","Y",""
"100","Spores 5.8-8-8.5 x 3.8-4-5-5.5 μm, av. 7 x 4.5 μm, Q=1.43-1.7-1.75, av. 1.55, ellipsoid, with generally non-tapered distal pole, brown, thick-walled and often with a rudimentary apical pore, with 1-2 refractive drops or granular content.","Spores 5.8-8-8.5 x 3.8-4-5-5.5 μm, av. 7 x 4.5 μm, Q=1.43-1.7-1.75, av. 1.55, ellipsoid, with generally non-tapered distal pole, brown, thick-walled and often with a rudimentary apical pore, with 1-2 refractive drops or granular content.","Spores 5.8-8-8.5 x 3.8-4-5-5.5 μm, av. 7 x 4.5 μm, Q=1.43-1.7-1.75, av. 1.55, ellipsoid, with generally non-tapered distal pole, brown, thick-walled and often with a rudimentary apical pore, with 1-2 refractive drops or granular content.","pore","apical","pore","spore apical","pore","spore apical","Y","Y",""
"101","Spores 5.8-8-8.5 x 3.8-4-5-5.5 μm, av. 7 x 4.5 μm, Q=1.43-1.7-1.75, av. 1.55, ellipsoid, with generally non-tapered distal pole, brown, thick-walled and often with a rudimentary apical pore, with 1-2 refractive drops or granular content.","Spores 5.8-8-8.5 x 3.8-4-5-5.5 μm, av. 7 x 4.5 μm, Q=1.43-1.7-1.75, av. 1.55, ellipsoid, with generally non-tapered distal pole, brown, thick-walled and often with a rudimentary apical pore, with 1-2 refractive drops or granular content.","Spores 5.8-8-8.5 x 3.8-4-5-5.5 μm, av. 7 x 4.5 μm, Q=1.43-1.7-1.75, av. 1.55, ellipsoid, with generally non-tapered distal pole, brown, thick-walled and often with a rudimentary apical pore, with 1-2 refractive drops or granular content.","content",,"content","spore","content","spore","Y","Y",""
"102","Microscopical description: Spores (5.5-) 6.5-8 (-8.5) x 4-5.5 (-6) μm, av. 7.2 x 5.2 µm, Q=1.3-1.54, av. 1.4, broadly ellipsoid, brown, thick-walled, sometimes with thin-walled apex, without an apical pore, with 1-2 refractive droplets or granular content.","Microscopical description: Spores (5.5-) 6.5-8 (-8.5) x 4-5.5 (-6) μm, av. 7.2 x 5.2 µm, Q=1.3-1.54, av. 1.4, broadly ellipsoid, brown, thick-walled, sometimes with thin-walled apex, without an apical pore, with 1-2 refractive droplets or granular content.","Microscopical description: Spores (5.5-) 6.5-8 (-8.5) x 4-5.5 (-6) μm, av. 7.2 x 5.2 µm, Q=1.3-1.54, av. 1.4, broadly ellipsoid, brown, thick-walled, sometimes with thin-walled apex, without an apical pore, with 1-2 refractive droplets or granular content.","apex",,"apex","spore","apex","spore","Y","Y",""
"103","Microscopical description: Spores (5.5-) 6.5-8 (-8.5) x 4-5.5 (-6) μm, av. 7.2 x 5.2 µm, Q=1.3-1.54, av. 1.4, broadly ellipsoid, brown, thick-walled, sometimes with thin-walled apex, without an apical pore, with 1-2 refractive droplets or granular content.","Microscopical description: Spores (5.5-) 6.5-8 (-8.5) x 4-5.5 (-6) μm, av. 7.2 x 5.2 µm, Q=1.3-1.54, av. 1.4, broadly ellipsoid, brown, thick-walled, sometimes with thin-walled apex, without an apical pore, with 1-2 refractive droplets or granular content.","Microscopical description: Spores (5.5-) 6.5-8 (-8.5) x 4-5.5 (-6) μm, av. 7.2 x 5.2 µm, Q=1.3-1.54, av. 1.4, broadly ellipsoid, brown, thick-walled, sometimes with thin-walled apex, without an apical pore, with 1-2 refractive droplets or granular content.","pore","apical","pore","spore apical","pore","spore apical","Y","Y",""
"104","Microscopical description: Spores (5.5-) 6.5-8 (-8.5) x 4-5.5 (-6) μm, av. 7.2 x 5.2 µm, Q=1.3-1.54, av. 1.4, broadly ellipsoid, brown, thick-walled, sometimes with thin-walled apex, without an apical pore, with 1-2 refractive droplets or granular content.","Microscopical description: Spores (5.5-) 6.5-8 (-8.5) x 4-5.5 (-6) μm, av. 7.2 x 5.2 µm, Q=1.3-1.54, av. 1.4, broadly ellipsoid, brown, thick-walled, sometimes with thin-walled apex, without an apical pore, with 1-2 refractive droplets or granular content.","Microscopical description: Spores (5.5-) 6.5-8 (-8.5) x 4-5.5 (-6) μm, av. 7.2 x 5.2 µm, Q=1.3-1.54, av. 1.4, broadly ellipsoid, brown, thick-walled, sometimes with thin-walled apex, without an apical pore, with 1-2 refractive droplets or granular content.","content",,"content","spore","content","spore","Y","Y",""
"105","Spores (7.5) 7.8-9.2 (-9.5) x 5.8-6.5 µm, av. 8.62 x 6 µm, Q = (1.26) 1.31-1.51 (-1.55), av. 1.43, ellipsoid, brown, thick-walled and often with a rudimentary apical pore, with granular content.","Spores (7.5) 7.8-9.2 (-9.5) x 5.8-6.5 µm, av. 8.62 x 6 µm, Q = (1.26) 1.31-1.51 (-1.55), av. 1.43, ellipsoid, brown, thick-walled and often with a rudimentary apical pore, with granular content.","Spores (7.5) 7.8-9.2 (-9.5) x 5.8-6.5 µm, av. 8.62 x 6 µm, Q = (1.26) 1.31-1.51 (-1.55), av. 1.43, ellipsoid, brown, thick-walled and often with a rudimentary apical pore, with granular content.","pore","apical","pore","spore apical","pore","spore apical","Y","Y",""
"106","Spores (7.5) 7.8-9.2 (-9.5) x 5.8-6.5 µm, av. 8.62 x 6 µm, Q = (1.26) 1.31-1.51 (-1.55), av. 1.43, ellipsoid, brown, thick-walled and often with a rudimentary apical pore, with granular content.","Spores (7.5) 7.8-9.2 (-9.5) x 5.8-6.5 µm, av. 8.62 x 6 µm, Q = (1.26) 1.31-1.51 (-1.55), av. 1.43, ellipsoid, brown, thick-walled and often with a rudimentary apical pore, with granular content.","Spores (7.5) 7.8-9.2 (-9.5) x 5.8-6.5 µm, av. 8.62 x 6 µm, Q = (1.26) 1.31-1.51 (-1.55), av. 1.43, ellipsoid, brown, thick-walled and often with a rudimentary apical pore, with granular content.","content",,"content","spore","content","spore","Y","Y",""
"107","Microscopic description based on my own analysis of the holotype: Spores 7-9 x 6-7.5 μm, av. 8.2 x 6.9 μm, Q=1.09-1.18-1.29, av. 1.18, broadly ellipsoid to subglobose, brown, lacking an apical pore, with prominent hilar appendage, content granular or at times forming a large drop.","Microscopic description based on my own analysis of the holotype: Spores 7-9 x 6-7.5 μm, av. 8.2 x 6.9 μm, Q=1.09-1.18-1.29, av. 1.18, broadly ellipsoid to subglobose, brown, lacking an apical pore, with prominent hilar appendage, content granular or at times forming a large drop.","Microscopic description based on my own analysis of the holotype: Spores 7-9 x 6-7.5 μm, av. 8.2 x 6.9 μm, Q=1.09-1.18-1.29, av. 1.18, broadly ellipsoid to subglobose, brown, lacking an apical pore, with prominent hilar appendage, content granular or at times forming a large drop.","pore","apical","pore","spore apical","pore","spore apical","Y","Y",""
"108","Microscopic description based on my own analysis of the holotype: Spores 7-9 x 6-7.5 μm, av. 8.2 x 6.9 μm, Q=1.09-1.18-1.29, av. 1.18, broadly ellipsoid to subglobose, brown, lacking an apical pore, with prominent hilar appendage, content granular or at times forming a large drop.","Microscopic description based on my own analysis of the holotype: Spores 7-9 x 6-7.5 μm, av. 8.2 x 6.9 μm, Q=1.09-1.18-1.29, av. 1.18, broadly ellipsoid to subglobose, brown, lacking an apical pore, with prominent hilar appendage, content granular or at times forming a large drop.","Microscopic description based on my own analysis of the holotype: Spores 7-9 x 6-7.5 μm, av. 8.2 x 6.9 μm, Q=1.09-1.18-1.29, av. 1.18, broadly ellipsoid to subglobose, brown, lacking an apical pore, with prominent hilar appendage, content granular or at times forming a large drop.","content",,"content","spore","content","spore","Y","Y",""
"109","Pileus surface almost smooth to slightly fibrillose when young, then breaking up into concentric scales separated by cracks which become deeper and deeper towards the periphery, revealing the pale cream subcuticular layer.","Pileus surface almost smooth to slightly fibrillose when young, then breaking up into concentric scales separated by cracks which become deeper and deeper towards the periphery, revealing the pale cream subcuticular layer.","Pileus surface almost smooth to slightly fibrillose when young, then breaking up into concentric scales separated by cracks which become deeper and deeper towards the periphery, revealing the pale cream subcuticular layer.","surface","pileus","surface","pileus","surface","pileus","N","Y",""
"110","Pileus surface almost smooth to slightly fibrillose when young, then breaking up into concentric scales separated by cracks which become deeper and deeper towards the periphery, revealing the pale cream subcuticular layer.","Pileus surface almost smooth to slightly fibrillose when young, then breaking up into concentric scales separated by cracks which become deeper and deeper towards the periphery, revealing the pale cream subcuticular layer.","Pileus surface almost smooth to slightly fibrillose when young, then breaking up into concentric scales separated by cracks which become deeper and deeper towards the periphery, revealing the pale cream subcuticular layer.","crack",,"crack","pileus surface","crack","pileus surface","Y","Y",""
"111","Pileus surface almost smooth to slightly fibrillose when young, then breaking up into concentric scales separated by cracks which become deeper and deeper towards the periphery, revealing the pale cream subcuticular layer.","Pileus surface almost smooth to slightly fibrillose when young, then breaking up into concentric scales separated by cracks which become deeper and deeper towards the periphery, revealing the pale cream subcuticular layer.","Pileus surface almost smooth to slightly fibrillose when young, then breaking up into concentric scales separated by cracks which become deeper and deeper towards the periphery, revealing the pale cream subcuticular layer.","layer","subcuticular","layer","pileus surface subcuticular","layer","pileus surface subcuticular","Y","Y",""
"112","Internally the short tubulus has three or two satellite pores.","Internally the short tubulus has three or two satellite pores.","Internally the short tubulus has three or two satellite pores.","pore",,"pore","tubulus","pore","tubulus","Y","Y",""
"113","if they have two satellite pores these towards the edge of the valve and towards the valve face / mantle junction, in a radial position.","if they have two satellite pores these towards the edge of the valve and towards the valve face / mantle junction, in a radial position.","if they have two satellite pores these towards the edge of the valve and towards the valve face / mantle junction, in a radial position.","pore",,"pore","tubulus","pore","tubulus","Y","Y",""
"114","if they have two satellite pores these towards the edge of the valve and towards the valve face / mantle junction, in a radial position.","if they have two satellite pores these towards the edge of the valve and towards the valve face / mantle junction, in a radial position.","if they have two satellite pores these towards the edge of the valve and towards the valve face / mantle junction, in a radial position.","edge",,"edge","valve","edge","valve","Y","Y",""
"115","if they have two satellite pores these towards the edge of the valve and towards the valve face / mantle junction, in a radial position.","if they have two satellite pores these towards the edge of the valve and towards the valve face / mantle junction, in a radial position.","if they have two satellite pores these towards the edge of the valve and towards the valve face / mantle junction, in a radial position.","face",,"face","valve","face","valve","Y","Y",""
"116","The areolae on the valve face internally covered with domed cribra;","The areolae on the valve face internally covered with domed cribra;","The areolae on the valve face internally covered with domed cribra;","face","valve","face","valve","face","valve","N","Y",""
"117","Neither the fascicles nor the interfascicles continue to the edge of the valve.","Neither the fascicles nor the interfascicles continue to the edge of the valve.","Neither the fascicles nor the interfascicles continue to the edge of the valve.","edge",,"edge","valve","edge","valve","Y","Y",""
"118","Mandible with two to five teeth, cutting edges absent or in second and third interspaces only, usually of quite different shapes in the two interspaces or absent in one or the other.","Mandible with two to five teeth, cutting edges absent or in second and third interspaces only, usually of quite different shapes in the two interspaces or absent in one or the other.","Mandible with two to five teeth, cutting edges absent or in second and third interspaces only, usually of quite different shapes in the two interspaces or absent in one or the other.","edge",,"edge","mandible","edge","mandible","Y","Y",""
"119","Three equal weak teeth whose apices at the level of the anterior edge of the pharyngeal collar.","Three equal weak teeth whose apices at the level of the anterior edge of the pharyngeal collar.","Three equal weak teeth whose apices at the level of the anterior edge of the pharyngeal collar.","apex",,"apex","tooth","apex","tooth","Y","Y",""
"120","Three equal weak teeth whose apices at the level of the anterior edge of the pharyngeal collar.","Three equal weak teeth whose apices at the level of the anterior edge of the pharyngeal collar.","Three equal weak teeth whose apices at the level of the anterior edge of the pharyngeal collar.","edge","anterior","edge","pharyngeal collar anterior","edge","pharyngeal collar anterior","Y","Y",""
"121","Lamellae free, up to 9 mm broad, crowded, with lamellulae, at first pinkish, then brown and finally dark-brown almost black, edge whitish, fimbriate under a magnifying glass.","Lamellae free, up to 9 mm broad, crowded, with lamellulae, at first pinkish, then brown and finally dark-brown almost black, edge whitish, fimbriate under a magnifying glass.","Lamellae free, up to 9 mm broad, crowded, with lamellulae, at first pinkish, then brown and finally dark-brown almost black, edge whitish, fimbriate under a magnifying glass.","edge",,"edge","lamella","edge","lamella","Y","Y",""
"122","Lamellae free, crowded, up to 1 cm broad, with lamellulae, pink even in immature basidiomata, then reddish, much later brown and finally very dark-brown almost black, edge whitish and finely denticulate in young specimens, but soon concolorous with the faces.","Lamellae free, crowded, up to 1 cm broad, with lamellulae, pink even in immature basidiomata, then reddish, much later brown and finally very dark-brown almost black, edge whitish and finely denticulate in young specimens, but soon concolorous with the faces.","Lamellae free, crowded, up to 1 cm broad, with lamellulae, pink even in immature basidiomata, then reddish, much later brown and finally very dark-brown almost black, edge whitish and finely denticulate in young specimens, but soon concolorous with the faces.","edge",,"edge","lamella","edge","lamella","Y","Y",""
"123","Lamellae free, crowded, up to 1 cm broad, with lamellulae, pink even in immature basidiomata, then reddish, much later brown and finally very dark-brown almost black, edge whitish and finely denticulate in young specimens, but soon concolorous with the faces.","Lamellae free, crowded, up to 1 cm broad, with lamellulae, pink even in immature basidiomata, then reddish, much later brown and finally very dark-brown almost black, edge whitish and finely denticulate in young specimens, but soon concolorous with the faces.","Lamellae free, crowded, up to 1 cm broad, with lamellulae, pink even in immature basidiomata, then reddish, much later brown and finally very dark-brown almost black, edge whitish and finely denticulate in young specimens, but soon concolorous with the faces.","face",,"face","lamella","face","lamella","Y","Y",""
"124","Resembles Willow Ptarmigan (Lagopus lagopus) in shape and size, but lacks the white winter plumage and feathering on the distal elements of the toes present in ptarmigan.","Resembles Willow Ptarmigan (Lagopus lagopus) in shape and size, but lacks the white winter plumage and feathering on the distal elements of the toes present in ptarmigan.","Resembles Willow Ptarmigan (Lagopus lagopus) in shape and size, but lacks the white winter plumage and feathering on the distal elements of the toes present in ptarmigan.","element","distal","element","distal toe distal","element","distal toe distal","Y","Y",""
"125","Basidia 16-24 x 6-8 μm, 4-spored, clavate or slightly truncate at the apex, with sterigmata up to 3 μm long.","Basidia 16-24 x 6-8 μm, 4-spored, clavate or slightly truncate at the apex, with sterigmata up to 3 μm long.","Basidia 16-24 x 6-8 μm, 4-spored, clavate or slightly truncate at the apex, with sterigmata up to 3 μm long.","apex",,"apex","basidium","apex","basidium","Y","Y",""
"126","terminal elements (and one-celled cystidia) clavate, broadly clavate or ovoid, measuring 10-28 (-34) x 7-12 (-15) μm, anteterminal ones, small, measuring 3-16 x 5-9 μm.","terminal elements (and one-celled cystidia) clavate, broadly clavate or ovoid, measuring 10-28 (-34) x 7-12 (-15) μm, anteterminal ones, small, measuring 3-16 x 5-9 μm.","terminal elements (and one-celled cystidia) clavate, broadly clavate or ovoid, measuring 10-28 (-34) x 7-12 (-15) μm, anteterminal ones, small, measuring 3-16 x 5-9 μm.","element","terminal","element","cheilocystidium terminal","element","cheilocystidium terminal","Y","Y",""
"127","In LAPAG 241, fusoid terminal elements frequently observed, while in LAPAG 341, catenulate cheilocystidia, with ovoid terminal elements as abundant as the clavate ones.","In LAPAG 241, fusoid terminal elements frequently observed, while in LAPAG 341, catenulate cheilocystidia, with ovoid terminal elements as abundant as the clavate ones.","In LAPAG 241, fusoid terminal elements frequently observed, while in LAPAG 341, catenulate cheilocystidia, with ovoid terminal elements as abundant as the clavate ones.","element","terminal","element","cheilocystidium terminal","element","cheilocystidium terminal","Y","Y",""
"128","In LAPAG 241, fusoid terminal elements frequently observed, while in LAPAG 341, catenulate cheilocystidia, with ovoid terminal elements as abundant as the clavate ones.","In LAPAG 241, fusoid terminal elements frequently observed, while in LAPAG 341, catenulate cheilocystidia, with ovoid terminal elements as abundant as the clavate ones.","In LAPAG 241, fusoid terminal elements frequently observed, while in LAPAG 341, catenulate cheilocystidia, with ovoid terminal elements as abundant as the clavate ones.","element","fusoid terminal","element","fusoid terminal","element","fusoid terminal","N","Y",""
